Conflict for A whose techno was PromethION  and is now MKIb
Conflict for A whose techno was PromethION  and is now MKIb
Conflict for A whose techno was PromethION  and is now MKIb
Conflict for A whose techno was PromethION  and is now MKIb
Multiple technos 64SUR0CCKK11 GA IIx HiSeq 2000
Multiple technos 64DCM0CCKK11 HiSeq 2000 GA IIx
Multiple technos 66SUR0CCKK11 GA IIx HiSeq 2000
Multiple technos 68SUR0CCKK11 HiSeq 2000 GA IIx
Multiple technos 68DCM0CCKK11 HiSeq 2000 GA IIx
Multiple technos 102DCM0CCKK11 HiSeq 2000 GA IIx
Multiple technos 30DCM0CCII11 HiSeq 2000 GA IIx
64SUR0CCKK11 None
64DCM0CCKK11 None
64MES0CCKK11 HiSeq 2000
65SUR0CCKK11 HiSeq 2000
65DCM0CCKK11 HiSeq 2000
65MES0CCKK11 HiSeq 2000
66SUR0CCKK11 None
66DCM0CCKK11 GA IIx
67SUR0CCKK11 GA IIx
68SUR0CCKK11 None
68DCM0CCKK11 None
68MES0CCKK11 HiSeq 2000
70SUR0CCKK11 HiSeq 2000
70MES0CCKK11 HiSeq 2000
76SUR0CCKK11 HiSeq 2000
76DCM0CCKK11 HiSeq 2000
76MES0CCKK11 HiSeq 2000
78SUR0CCKK11 HiSeq 2000
78DCM0CCKK11 HiSeq 2000
78MES0CCKK11 HiSeq 2000
4SUR1CCII11 HiSeq 2000
4DCM0CCII11 HiSeq 2000
18SUR0CCII11 HiSeq 2000
18DCM0CCII11 HiSeq 2000
25SUR0CCII11 HiSeq 2000
25DCM0CCII11 HiSeq 2000
31SUR1CCII11 HiSeq 2000
32SUR0CCII11 HiSeq 2000
32DCM0CCII11 HiSeq 2000
33SUR0CCII11 HiSeq 2000
34SUR0CCII11 HiSeq 2000
34DCM0CCII11 HiSeq 2000
36SUR0CCII11 HiSeq 2000
36DCM0CCII11 HiSeq 2000
37MES00CCII11 HiSeq 2000
38SUR0CCII11 HiSeq 2000
38DCM0CCII11 HiSeq 2000
38OMZ1CCII11 HiSeq 2000
41SUR0CCII11 HiSeq 2000
41DCM0CCII11 HiSeq 2000
42SUR0CCII11 HiSeq 2000
42DCM0CCII11 HiSeq 2000
45SUR0CCII11 HiSeq 2000
48SUR0CCII11 HiSeq 2000
52SUR0CCII11 HiSeq 2000
52DCM0CCII11 HiSeq 2000
72SUR0CCKK11 HiSeq 2000
72DCM0CCKK11 HiSeq 2000
72MES0CCKK11 HiSeq 2000
82SUR0CCKK11 HiSeq 2000
82DCM0CCKK11 HiSeq 2000
84SUR0CCKK11 HiSeq 2000
85SUR0CCKK11 HiSeq 2000
85DCM0CCKK11 HiSeq 2000
85MES0CCKK11 HiSeq 2000
98SUR0CCKK11 HiSeq 2000
98DCM0CCKK11 HiSeq 2000
98MES0CCKK11 HiSeq 2000
100SUR0CCKK11 HiSeq 2000
100DCM0CCKK11 HiSeq 2000
100MES0CCKK11 HiSeq 2000
102SUR0CCKK11 HiSeq 2000
102DCM0CCKK11 None
102MES0CCKK11 HiSeq 2000
109SUR0CCKK11 HiSeq 2000
109DCM0CCKK11 HiSeq 2000
109MES0CCKK11 HiSeq 2000
39MES01CCII11 HiSeq 2000
39DCM0IIQQ11 HiSeq 2000
38MES01CCII11 HiSeq 2000
110SUR0CCKK11 HiSeq 2000
110DCM0CCKK11 HiSeq 2000
110MES0CCKK11 HiSeq 2000
111SUR0CCKK11 HiSeq 2000
111DCM0CCKK11 HiSeq 2000
111MES0CCKK11 HiSeq 2000
112SUR0CCKK11 HiSeq 2000
112DCM0CCKK11 HiSeq 2000
112MES0CCKK11 HiSeq 2000
122SUR0CCKK11 HiSeq 2000
122DCM0CCKK11 HiSeq 2000
122MES0CCKK11 HiSeq 2000
123SUR0CCKK11 HiSeq 2000
123MXL00CCKK11 HiSeq 2000
124SUR0CCKK11 HiSeq 2000
125SUR0CCKK11 HiSeq 2000
125MXL00CCKK11 HiSeq 2000
137MES0CCKK11 HiSeq 2000
137DCM0CCKK11 HiSeq 2000
138MES0CCKK11 HiSeq 2000
124MXL00CCKK11 HiSeq 2000
56SUR0CCKK11 HiSeq 2000
56MES0CCKK11 HiSeq 2000
57SUR0CCKK11 HiSeq 2000
58DCM0CCKK11 HiSeq 2000
62SUR0CCKK11 HiSeq 2000
93SUR0CCKK11 HiSeq 2000
93DCM0CCKK11 HiSeq 2000
94SUR0CCKK11 HiSeq 2000
96SUR0CCKK11 HiSeq 2000
99SUR0CCKK11 HiSeq 2000
128SUR0CCKK11 HiSeq 2000
128DCM0CCKK11 HiSeq 2000
132SUR0CCKK11 HiSeq 2000
132DCM0CCKK11 HiSeq 2000
132MES0CCKK11 HiSeq 2000
133SUR0CCKK11 HiSeq 2000
133DCM0CCKK11 HiSeq 2000
133MES0CCKK11 HiSeq 2000
137SUR0CCKK11 HiSeq 2000
138SUR0CCKK11 HiSeq 2000
138DCM0CCKK11 HiSeq 2000
140SUR0CCKK11 HiSeq 2000
141SUR0CCKK11 HiSeq 2000
142SUR0CCKK11 HiSeq 2000
142DCM0CCKK11 HiSeq 2000
142MES0CCKK11 HiSeq 2000
145SUR0CCKK11 HiSeq 2000
145MES0CCKK11 HiSeq 2000
146SUR0CCKK11 HiSeq 2000
146MES0CCKK11 HiSeq 2000
148SUR0CCKK11 HiSeq 2000
148MES0CCKK11 HiSeq 2000
149SUR0CCKK11 HiSeq 2000
149MES0CCKK11 HiSeq 2000
150SUR0CCKK11 HiSeq 2000
150DCM0CCKK11 HiSeq 2000
151SUR0CCKK11 HiSeq 2000
151DCM0CCKK11 HiSeq 2000
152SUR0CCKK11 HiSeq 2000
152ZZZ00CCKK11 HiSeq 2000
152MES0CCKK11 HiSeq 2000
23SUR0CCII11 GA IIx
23DCM0CCII11 GA IIx
30SUR0CCII11 HiSeq 2000
30DCM0CCII11 None
155SUR0CCKK11 HiSeq 2000
155DCM0CCKK11 HiSeq 2500
155MES0CCKK11 HiSeq 2500
158DCM0CCKK11 HiSeq 2000
158MES0CCKK11 HiSeq 2500
158SUR0CCKK11 HiSeq 2000
163MES0CCKK11 HiSeq 2000
163SUR0CCKK11 HiSeq 2500
168DCM0CCKK11 HiSeq 2000
168IZZ0CCKK11 HiSeq 2500
168SUR0CCKK11 HiSeq 2500
173IZZ0CCKK11 HiSeq 2000
173DCM0CCKK11 HiSeq 2500
173SUR0CCKK11 HiSeq 2000
175SUR0CCKK11 HiSeq 2000
175ZZZ0CCKK11 HiSeq 2000
178SUR0CCKK11 HiSeq 2500
180SUR0CCKK11 HiSeq 2000
180ZZZ0CCKK11 HiSeq 2000
188DCM0CCKK11 HiSeq 2000
188SUR0CCKK11 HiSeq 2000
189DCM0CCKK11 HiSeq 2000
189MES0CCKK11 HiSeq 2000
189SUR0CCKK11 HiSeq 2000
191SUR0CCKK11 HiSeq 2000
193SUR0CCKK11 HiSeq 2000
194DCM0CCKK11 HiSeq 2000
194SUR0CCKK11 HiSeq 2000
196SUR0CCKK11 HiSeq 2000
201DCM0CCKK11 HiSeq 2000
201MES0CCKK11 HiSeq 2000
201SUR0CCKK11 HiSeq 2000
205MES0CCKK11 HiSeq 2000
205SUR0CCKK11 HiSeq 2000
206MES0CCKK11 HiSeq 2000
206SUR0CCKK11 HiSeq 2000
208SUR0CCKK11 HiSeq 2000
209MES0CCKK11 HiSeq 2000
209SUR0CCKK11 HiSeq 2000
210MES0CCKK11 HiSeq 2000
210SUR0CCKK11 HiSeq 2000
